rank,sn,carries,crosses,county,owner,maint,year_built,year_recon,adt,adt_year,truck_pct,min_rating,poor_since,streak,status,lat,lon
974,245681.0,LCL-JARRED AVE,CREEK,Mills,County,County,1940,0.0,15,2021,0,2.0,2010,16,Posted (load limit),41.023669444444444,-95.38728055555556
975,297250.0,LOCAL,STREAM,Ringgold,County,County,1930,0.0,15,2022,0,0.0,2010,16,CLOSED to traffic,40.79733888888889,-94.25071111111112
976,254560.0,LOCAL,DRAINAGE,Montgomery,County,County,1952,0.0,15,2021,0,3.0,2010,16,Posted (load limit),40.90783611111111,-95.13743611111111
977,158970.0,290 STREET,MILL CREEK,Fremont,County,County,1920,0.0,15,2021,0,4.0,2010,16,Posted (load limit),40.62861111111111,-95.54304722222221
978,138951.0,FM,SHORT CREEK,Decatur,County,County,1929,1975.0,15,2022,0,3.0,2010,16,Posted (load limit),40.82309166666667,-93.87121388888889
979,138870.0,LOCAL,LONG CREEK,Decatur,County,County,1915,1991.0,15,2022,0,3.0,2010,16,Posted (load limit),40.83813888888889,-93.85746666666667
980,183990.0,LOCAL 25TH ST,STAFF CR,Howard,County,County,1944,0.0,15,2021,0,3.0,2010,16,Open (posting recommended),43.47985,-92.44172222222223
981,165130.0,LOCAL RD,BRANCH BLACKHAWK CREEK,Grundy,County,County,1956,0.0,15,2022,0,4.0,2010,16,Open,42.41266111111111,-92.78941944444445
982,72190.0,LOCAL,STEIN CK,Benton,County,County,1948,0.0,15,2021,0,4.0,2010,16,Posted (load limit),42.11278055555556,-92.28044166666666
983,185030.0,LOCAL,PRAIRIE CREEK,Humboldt,County,County,1900,0.0,15,2022,0,3.0,2010,16,Posted (load limit),42.87748611111111,-94.00506111111112
984,73030.0,LOCAL,PRAIRIE CK,Benton,County,County,1947,0.0,15,2021,0,3.0,2010,16,Posted (load limit),42.26833611111111,-91.93925833333334
985,244410.0,LOCAL,BR MINERVA CR,Marshall,County,County,1917,0.0,15,2022,0,3.0,2010,16,Posted (load limit),42.18333333333333,-93.214575
986,244850.0,LCL-QUEEN AVE,DEER CREEK,Mills,County,County,1940,0.0,15,2021,0,2.0,2010,16,Posted (load limit),40.93048333333333,-95.48261666666667
987,72010.0,FM,MUD CREEK,Benton,County,County,1951,0.0,15,2021,0,3.0,2010,16,Posted (load limit),42.10838888888889,-92.08257222222223
988,244880.0,LCL-RAINS AV,HUNTER BRANCH,Mills,County,County,1950,0.0,15,2022,0,3.0,2010,16,Posted (load limit),40.916,-95.4285888888889
989,175530.0,LOCAL,BEAVER CREEK,Hardin,County,County,1958,0.0,15,2022,47,3.0,2010,16,Posted (load limit),42.33903055555556,-93.12534444444444
990,165970.0,LOCAL ROAD,N FORK OF BEAVER CREEK,Grundy,County,County,1947,0.0,15,2022,0,4.0,2010,16,Posted (load limit),42.50554722222222,-92.90849166666668
991,297170.0,FM,E FK GRAND RIVER,Ringgold,County,County,1958,0.0,15,2023,0,3.0,2010,16,Posted (load limit),40.73948333333333,-94.15526944444446
992,297740.0,LOCAL,SAND CREEK,Ringgold,County,County,1958,0.0,15,2023,0,3.0,2010,16,Posted (load limit),40.865769444444446,-94.06291388888889
993,164410.0,LOCAL ROAD,BRANCH OF WOLF CREEK,Grundy,County,County,1953,1975.0,15,2022,0,0.0,2010,16,CLOSED to traffic,42.305363888888884,-92.80695277777778
994,254210.0,REDWOOD AVE,BNSF RR,Montgomery,Railroad,Railroad,1913,0.0,15,2021,0,3.0,2010,16,Posted (load limit),40.95634166666667,-95.03812777777777
995,138340.0,LOCAL,ELK CREEK,Decatur,County,County,1961,0.0,15,2022,0,3.0,2010,16,Posted (load limit),40.80172777777778,-93.99501944444445
996,319740.0,LOCAL,SALT CREEK,Tama,County,County,1910,2012.0,15,2022,0,4.0,2010,16,Open,42.14700555555555,-92.53295555555556
997,321600.0,LOCAL,PLATTE BRANCH,Taylor,County,County,1942,1976.0,15,2022,0,0.0,2010,16,CLOSED to traffic,40.697541666666666,-94.498875
998,283770.0,432ND STREET,JORDAN CREEK,Pottawattamie,County,County,1968,1985.0,15,2022,0,3.0,2010,16,Posted (load limit),41.20480277777778,-95.36116388888888
999,287200.0,ROSEWOOD ROAD,SECOND CREEK,Pottawattamie,County,County,1949,1989.0,15,2021,0,4.0,2010,16,Open,41.418458333333334,-95.26452222222223
1000,173330.0,1760 180TH ST,EAST IOWA RIVER,Hancock,County,County,1959,0.0,15,2022,0,4.0,2010,16,Open,43.024116666666664,-93.6444
1001,137290.0,LOCAL,ELK CREEK,Decatur,County,County,1921,1967.0,15,2022,0,0.0,2010,16,CLOSED to traffic,40.70301111111112,-93.90087222222223
1002,135250.0,LOCAL,N CHEQUEST LAKE CREEK,Davis,County,County,1940,2009.0,15,2021,0,3.0,2010,16,Posted (load limit),40.84110833333334,-92.27940833333334
1003,151620.0,185TH ST,VOLGA RIVER,Fayette,County,County,1957,0.0,15,2022,0,4.0,2010,16,Posted (load limit),42.89836388888889,-92.00048611111112
1004,59610.0,REDWOOD AVENUE,STREAM,Adams,County,County,1968,0.0,15,2022,0,3.0,2010,16,Posted (load limit),40.990522222222225,-94.58525555555555
1005,354870.0,LOCAL,WOLF CREEK,Woodbury,County,County,1960,0.0,15,2022,0,3.0,2010,16,Posted (load limit),42.497236111111114,-95.93761111111111
1006,82770.0,LOCAL,SMALL STREAM,Buchanan,County,County,1951,2017.0,15,2013,0,4.0,2010,16,Posted (load limit),42.49413055555556,-91.80114999999999
1007,105350.0,QUAIL,BEAVER DAM CREEK,Cerro Gordo,County,County,1913,0.0,15,2022,0,4.0,2010,16,Posted (load limit),42.92103888888889,-93.177225
1008,104920.0,150TH ST,BR ROCK CR,Cedar,County,County,1920,0.0,15,2022,0,4.0,2010,16,Posted (load limit),41.873897222222226,-91.15997222222222
1009,107510.0,LOCAL- 630TH ST,WILLOW CREEK,Cherokee,County,County,1917,0.0,15,2022,0,0.0,2010,16,CLOSED to traffic,42.60454166666667,-95.73874722222223
1010,97381.0,LOCAL - 620TH,WATERWAY,Cass,County,County,1977,0.0,15,2022,0,3.0,2010,16,Posted (load limit),41.16396666666667,-95.00391111111111
1011,97591.0,LOCAL - 560TH,WATERWAY,Cass,County,County,1900,0.0,15,2022,0,4.0,2010,16,Posted (load limit),41.20851666666667,-95.11818333333332
1012,324750.0,LOCAL,SMALL STREAM,Union,County,County,1973,0.0,15,2022,0,4.0,2010,16,Posted (load limit),40.91061111111111,-94.16687222222222
1013,324820.0,LOCAL,EAST PLATTE RIVER,Union,County,County,1969,0.0,15,2022,0,0.0,2010,16,Open (temporary),40.97088333333333,-94.301125
1014,55300.0,LOCAL,MIDDLE NODAWAY RIVER  BR,Adair,County,County,1949,0.0,15,2022,0,4.0,2010,16,Posted (load limit),41.24348611111111,-94.59956944444444
1015,55480.0,LOCAL,STREAM,Adair,County,County,1954,0.0,15,2022,0,4.0,2010,16,Posted (load limit),41.172475,-94.6984
1016,55530.0,LOCAL,BRANCH MIDDLE NODAWAY R,Adair,County,County,1960,0.0,15,2022,33,4.0,2010,16,Posted (load limit),41.161569444444446,-94.60442499999999
1017,56590.0,LOCAL,MIDDLE RIVER,Adair,County,County,1968,0.0,15,2021,0,4.0,2010,16,Posted (load limit),41.35584722222222,-94.27781944444445
1018,59450.0,WALNUT AVENUE,CIPRA BRANCH,Adams,County,County,1955,0.0,15,2022,0,3.0,2010,16,Posted (load limit),41.05804722222222,-94.50448333333334
1019,109730.0,LOCAL 440TH ST,CREEK,Cherokee,County,County,1900,0.0,15,2022,0,0.0,2010,16,CLOSED to traffic,42.882394444444444,-95.63619166666668
1020,100021.0,LOCAL/KEYSTONE,SPRING CREEK,Cass,County,County,1900,1989.0,15,2022,0,3.0,2010,16,Posted (load limit),41.36058333333334,-95.09213333333332
1021,353170.0,LOCAL,STREAM,Woodbury,County,County,1950,0.0,15,2022,0,0.0,2010,16,CLOSED to traffic,42.450494444444445,-95.8261
1022,353190.0,LOCAL,STREAM,Woodbury,County,County,1979,0.0,15,2022,0,4.0,2010,16,Posted (load limit),42.454686111111116,-95.83006388888889
1023,351280.0,LOCAL,STREAM,Woodbury,County,County,1940,0.0,15,2022,0,3.0,2010,16,Posted (load limit),42.38505833333333,-95.767625
1024,349535.0,279TH AVE,DRAINAGE,Winneshiek,County,County,1900,0.0,15,2022,0,3.0,2010,16,Open,43.46740833333334,-91.950075
1025,346610.0,LOCAL ROAD,CREEK,Winneshiek,County,County,1972,0.0,15,2022,0,3.0,2010,16,Open,43.2203,-91.65449722222223
1026,101690.0,LOCAL,CROOKED CREEK,Cedar,County,County,1935,1974.0,15,2021,0,4.0,2010,16,Posted (load limit),41.680825,-91.10236944444443
1027,351870.0,LOCAL,STREAM,Woodbury,County,County,1938,0.0,15,2022,0,0.0,2010,16,CLOSED to traffic,42.372394444444446,-95.92221944444445
1028,108010.0,LOCAL W AVE.,PITCHER CREEK,Cherokee,County,County,1923,0.0,11,2022,0,4.0,2010,16,Posted (load limit),42.65626666666667,-95.4273888888889
1029,108470.0,LOCAL 540TH ST,SMALL CREEK,Cherokee,County,County,1919,0.0,11,2022,0,4.0,2010,16,Posted (load limit),42.73525277777778,-95.74676944444444
1030,345010.0,LOCAL,PIKE RUN,Winnebago,County,County,1976,0.0,11,2022,9,3.0,2010,16,Posted (load limit),43.40014444444444,-93.69890833333334
1031,352060.0,LOCAL,WOLF CREEK,Woodbury,County,County,1938,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.34923333333334,-95.9681638888889
1032,352340.0,LOCAL,W FK LITTLE SIOUX RIVER,Woodbury,County,County,1935,0.0,11,2022,0,2.0,2010,16,Posted (load limit),42.38601666666666,-96.08349444444444
1033,352960.0,LOCAL,WRIGHT CREEK,Woodbury,County,County,1950,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.41828611111111,-95.70880277777778
1034,100721.0,LOCAL - 700TH,TRIB TROUBLESOME CREEK,Cass,County,County,1983,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.472436111111115,-94.85396666666666
1035,56710.0,LOCAL,STREAM,Adair,County,County,1954,0.0,11,2021,0,4.0,2010,16,Posted (load limit),41.41186111111111,-94.43307222222222
1036,57340.0,200TH ST,STREAM,Adair,County,County,1958,0.0,11,2022,0,4.0,2010,16,Open,41.35991388888889,-94.65567222222222
1037,363425.0,LOCAL,SOUTH WEST CREEK,Clarke,County,County,1900,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.08542777777778,-93.777275
1038,363430.0,LOCAL,SMALL STREAM,Clarke,County,County,1900,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.09925277777778,-93.97645555555556
1039,358580.0,EMMETT AVE,OTTER CREEK,Wright,County,County,1969,0.0,11,2021,0,3.0,2010,16,Posted (load limit),42.79111666666667,-93.89239166666667
1040,104740.0,CEDAR\JONES RD,BR PIONEER CR,Cedar,County,County,1992,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.94707222222222,-91.20588055555555
1041,324360.0,LOCAL,STREAM,Union,County,County,1900,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,40.933569444444444,-94.12488888888888
1042,57350.0,200TH ST,STREAM,Adair,County,County,1940,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.3599,-94.65206666666667
1043,57410.0,LOCAL,STREAM,Adair,County,County,1947,0.0,11,2022,0,4.0,2010,16,Posted (restriction),41.50369722222222,-94.25586944444444
1044,273520.0,FAWN AVE,BROKEN KETTLE CREEK,Plymouth,County,County,1953,0.0,11,2022,0,4.0,2010,16,Posted (load limit),42.71700277777778,-96.42897222222223
1045,93160.0,LOCAL,MIDDLE RACCOON RIVER,Carroll,County,County,1951,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.93958055555555,-94.76009166666667
1046,94990.0,LOCAL,FIELD STREAM,Carroll,County,County,1962,0.0,11,2022,18,4.0,2010,16,Posted (load limit),41.975458333333336,-95.0923111111111
1047,96911.0,LOCAL - 710TH,W NODAWAY,Cass,County,County,1977,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.21633055555556,-94.83428888888888
1048,272170.0,240TH ST,BIG WHISKEY SLOUGH,Plymouth,County,County,1953,0.0,11,2022,0,4.0,2010,16,Posted (load limit),42.70659166666667,-95.89006388888889
1049,277480.0,150TH ST,BROKEN KETTLE CREEK,Plymouth,County,County,1952,0.0,11,2022,0,4.0,2010,16,Open,42.836508333333335,-96.3578111111111
1050,272720.0,260TH ST,JOHNS CREEK,Plymouth,County,County,1900,0.0,11,2022,0,4.0,2010,16,Posted (load limit),42.67780833333333,-95.99091944444444
1051,348520.0,LOCAL ROAD,CREEK,Winneshiek,County,County,1900,1979.0,11,2022,0,3.0,2010,16,Open,43.403502777777774,-91.76704444444444
1052,348640.0,LOCAL LEGNO,CREEK,Winneshiek,County,County,1913,0.0,11,2022,0,4.0,2010,16,Open,43.38549166666667,-91.74999166666667
1053,348762.0,LOCAL,SMALL,Winneshiek,County,County,1978,0.0,11,2022,0,4.0,2010,16,Open,43.344055555555556,-91.82801388888889
1054,320050.0,LOCAL,WOLF CREEK,Tama,County,County,1895,1980.0,11,2022,0,0.0,2010,16,CLOSED to traffic,42.18175833333333,-92.68928333333334
1055,320980.0,FM,PLATTE DRAINAGE DITCH,Taylor,County,County,1964,1988.0,11,2021,0,3.0,2010,16,Posted (load limit),40.592575000000004,-94.50877777777778
1056,151670.0,175TH ST,VOLGA RIVER,Fayette,County,County,1955,0.0,11,2022,0,4.0,2010,16,Posted (load limit),42.883775,-91.99047777777778
1057,351140.0,LOCAL,FARMERS DITCH,Woodbury,County,County,1980,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.27741944444444,-96.15449722222223
1058,295170.0,LOCAL,STREAM,Ringgold,County,County,1959,0.0,11,2022,0,3.0,2010,16,Posted (load limit),40.59537777777778,-94.14246666666668
1059,295670.0,LOCAL,STREAM,Ringgold,County,County,1957,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,40.58136666666667,-94.37108611111111
1060,289300.0,INCA LANE,PIGEON CREEK,Pottawattamie,County,County,1924,0.0,11,2022,0,3.0,2010,16,CLOSED to traffic,41.34396111111111,-95.88674722222223
1061,291600.0,LOCAL,STREAM,Poweshiek,County,County,1959,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.581386111111115,-92.6142
1062,288080.0,390TH STREET,IAIS RR,Pottawattamie,County,County,1952,0.0,11,2022,0,4.0,2010,16,Open,41.37291388888889,-95.44187222222223
1063,280250.0,LOCAL,N LIZARD CREEK,Pocahontas,County,County,1916,1980.0,11,2022,0,3.0,2010,16,Posted (load limit),42.89276944444445,-94.75496666666666
1064,86510.0,LOCAL,BR LITTLE SIOUX RIVER,Buena Vista,County,County,1921,0.0,11,2021,0,3.0,2010,16,Posted (load limit),42.86259444444445,-95.30814722222222
1065,271510.0,320TH ST,BIG WHISKEY CREEK,Plymouth,County,County,1900,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.59044166666667,-96.20740555555555
1066,173550.0,300 210TH ST,DD #10,Hancock,County,County,1958,0.0,11,2022,0,4.0,2010,16,Open,43.06697777777778,-93.93072777777778
1067,115245.0,LEG NOT OPEN,SMALL,Clarke,County,County,1975,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.16088611111111,-93.81458611111111
1068,294950.0,FM,EAST CREEK,Ringgold,County,County,1958,0.0,11,2022,0,4.0,2010,16,Posted (load limit),40.580508333333334,-94.02516388888888
1069,295150.0,LOCAL,E FK GRAND RIVER,Ringgold,County,County,1957,1985.0,11,2022,0,4.0,2010,16,Posted (load limit),40.595619444444445,-94.21318055555555
1070,74065.0,KLINE RD,MUD CREEK,Black Hawk,County,County,1948,1967.0,11,2022,0,3.0,2010,16,Posted (load limit),42.34650555555556,-92.24031388888889
1071,176390.0,LOCAL,IA RIVER,Hardin,County,County,1965,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,42.445449999999994,-93.36526666666666
1072,185160.0,LOCAL,DM RIVER,Humboldt,County,County,1924,0.0,11,2022,0,4.0,2010,16,Posted (load limit),42.90426111111111,-94.2076888888889
1073,185350.0,LOCAL,DD,Humboldt,County,County,1900,1983.0,11,2022,0,4.0,2010,16,Posted (load limit),42.83414444444445,-94.31120833333333
1074,67470.0,LOCAL,CREEK,Audubon,County,County,1967,0.0,11,2021,0,3.0,2010,16,Posted (load limit),41.623536111111115,-94.84697222222222
1075,60310.0,ADAIR-ADAMS ST,EAST NODAWAY RIVER,Adams,County,County,1960,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.157577777777774,-94.48003055555556
1076,166790.0,LOCAL,SOUTH BEAVER CREEK,Guthrie,County,County,1945,0.0,11,2022,0,0.0,2010,16,Open (temporary),41.58540833333333,-94.44333611111111
1077,166890.0,LOCAL,SMALL STREAM,Guthrie,County,County,1945,2010.0,11,2022,0,3.0,2010,16,Posted (load limit),41.54783611111111,-94.42702777777778
1078,305910.0,LOCAL,KEG CREEK,Shelby,County,County,1969,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.61688888888889,-95.46656388888889
1079,266890.0,M AVENUE,STREAM,Page,County,County,1900,1987.0,11,2022,0,4.0,2010,16,Posted (load limit),40.78688611111111,-95.13739722222223
1080,254490.0,LOCAL RD,TARKIO CREEK,Montgomery,County,County,1966,0.0,11,2021,0,3.0,2010,16,Posted (restriction),40.93351944444444,-95.12241944444443
1081,301600.0,LOCAL,SMALL STREAM,Sac,County,County,1916,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.56095555555555,-95.24700277777778
1082,242060.0,LOCAL,BRANCH SNIPE CREEK,Marshall,County,County,1920,0.0,11,2022,0,4.0,2010,16,Open,41.884625,-93.05816944444445
1083,243050.0,LOCAL,CLEAR CREEK,Marshall,County,County,1950,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.95306388888889,-93.2129861111111
1084,204420.0,IOWA JOHNSON RD,STREAM,Johnson,County,County,1925,1953.0,11,2022,0,2.0,2010,16,CLOSED to traffic,41.631258333333335,-91.83304166666666
1085,234850.0,LOCAL RD,DRAINAGE,Madison,County,County,1956,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.427025,-93.98606666666667
1086,235190.0,LOCAL,JIM CREEK,Madison,County,County,1939,1990.0,11,2022,0,4.0,2010,16,Posted (load limit),41.46835277777778,-94.14689722222222
1087,236620.0,LOCAL,DRAINAGE DITCH #2,Mahaska,County,County,1900,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.25552777777778,-92.71750555555556
1088,239990.0,LOCAL,HAWK RUN,Marion,County,County,1925,0.0,11,2022,0,4.0,2010,16,Posted (restriction),41.31485833333333,-93.213925
1089,139000.0,LOCAL,STREAM,Decatur,County,County,1967,0.0,11,2022,0,3.0,2010,16,Posted (load limit),40.88276944444444,-93.96994722222223
1090,241600.0,LOCAL,SOUTH TIMBER CREEK,Marshall,County,County,1932,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.949425,-92.8637
1091,342240.0,CARTER AVE,DD,Webster,County,County,1959,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.336647222222226,-94.35945833333332
1092,118650.0,LANTERN AVE,MINERS CREEK,Clayton,County,County,1912,2005.0,11,2022,0,4.0,2010,16,Posted (restriction),42.802724999999995,-91.14303055555557
1093,334180.0,LOCAL,BR.SOUTH RIVER,Warren,County,County,1940,0.0,11,2022,0,4.0,2010,16,Posted (restriction),41.399927777777776,-93.37402499999999
1094,335791.0,LOCAL,SM STREAM,Washington,County,County,1934,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.209855555555556,-91.68288611111112
1095,336280.0,LOCAL ROAD,SOUTH FORK LONG CREEK,Washington,County,County,1914,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.27395555555555,-91.55238055555556
1096,115270.0,LOCAL,SOUTH RIVER,Clarke,County,County,1900,1983.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.14525277777778,-93.88400277777778
1097,275670.0,CONCORD AVE,UNNAMED CREEK,Plymouth,County,County,1949,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.78487777777777,-96.52694722222222
1098,169110.0,LOCAL,STREAM,Guthrie,County,County,1960,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.76668055555555,-94.59919722222222
1099,169150.0,LOCAL,STREAM,Guthrie,County,County,1951,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.776624999999996,-94.62360555555554
1100,169330.0,LOCAL,SOUTH RACCOON RIVER,Guthrie,County,County,1940,1958.0,11,2022,0,4.0,2010,16,Posted (load limit),41.717125,-94.59443055555555
1101,245851.0,LCL-305TH ST,CREEK,Mills,County,County,1990,0.0,11,2021,0,4.0,2010,16,Open,41.03445277777777,-95.6090611111111
1102,247720.0,VALLEY AVE,CREEK,Mitchell,County,County,1960,0.0,11,2022,0,3.0,2010,16,Posted (load limit),43.30311388888889,-92.61384166666666
1103,78060.0,LOCAL,BEAVER CREEK,Boone,County,County,1900,0.0,11,2022,0,4.0,2010,16,Posted (restriction),42.062913888888886,-94.12549722222222
1104,264710.0,IVY AVENUE,LONG BRANCH,Page,County,County,1955,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,40.61213055555556,-95.21176944444444
1105,265330.0,240TH STREET,STREAM,Page,County,County,1974,0.0,11,2022,0,4.0,2010,16,Posted (load limit),40.69473055555555,-94.97954444444444
1106,285011.0,IDELWOOD ROAD,WALNUT CREEK,Pottawattamie,County,County,1977,1989.0,11,2022,0,3.0,2010,16,Posted (load limit),41.33193055555556,-95.208675
1107,301320.0,LOCAL,SMALL STREAM,Sac,County,County,1924,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.53230277777778,-94.92838611111111
1108,249590.0,LOCAL,LOCAL STREAM,Monona,County,County,1900,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.90113611111111,-95.84391666666666
1109,98001.0,LOCAL - 760TH,WEST NODAWAY CREEK,Cass,County,County,1988,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.247625,-94.73881111111112
1110,330511.0,LOCAL,LITTLE SOAP CREEK,Wapello,County,County,1914,1980.0,11,2022,0,3.0,2010,16,Posted (load limit),40.90972222222222,-92.37110277777776
1111,331780.0,25TH AVE,UNNAMED CREEK,Wapello,County,County,1935,0.0,11,2021,0,3.0,2010,16,Posted (load limit),41.14321944444444,-92.20860555555556
1112,328740.0,LOCAL,CREEK,Van Buren,County,County,1964,0.0,11,2022,0,4.0,2010,16,Open,40.800349999999995,-92.06419444444444
1113,329710.0,LOCAL,CREEK,Van Buren,County,County,1968,0.0,11,2023,0,3.0,2010,16,CLOSED to traffic,40.85299444444445,-91.98148611111111
1114,329721.0,LOCAL,SMALL TRIBUTARY,Van Buren,County,County,1977,0.0,11,2023,0,0.0,2010,16,CLOSED to traffic,40.85535,-91.972275
1115,137481.0,LOCAL,DRAINAGE,Decatur,County,County,1976,0.0,11,2022,0,4.0,2010,16,Open,40.66703333333333,-93.83434166666666
1116,166070.0,LOCAL ROAD,BEAVER CREEK,Grundy,County,County,1948,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,42.499427777777775,-92.8608861111111
1117,329870.0,LOCAL,CREEK,Van Buren,County,County,1968,0.0,11,2022,0,4.0,2010,16,Posted (load limit),40.859005555555555,-92.09300555555555
1118,227160.0,LOCAL,BRANCH OF LONG BRANCH CR,Lucas,County,County,1954,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.153375,-93.28968611111111
1119,227260.0,LOCAL,LITTLE WHITEBREAST CREEK,Lucas,County,County,1933,0.0,11,2022,0,0.0,2010,16,Open (temporary),41.11700277777778,-93.32362499999999
1120,224310.0,V AVE,BUFFINGTON CREEK,Louisa,County,County,1893,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.20453888888889,-91.40895
1121,224470.0,LOCAL,SMALL STREAM,Louisa,County,County,1930,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.25883888888889,-91.24860833333334
1122,225020.0,LOCAL,BR OF CEDAR CREEK,Lucas,County,County,1940,0.0,11,2022,0,3.0,2010,16,Posted (load limit),40.986530555555554,-93.1180111111111
1123,225860.0,LOCAL,CHARITON RIVER,Lucas,County,County,1946,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,40.95174444444445,-93.44687777777779
1124,144930.0,LOCAL,STONY CREEK,Dickinson,County,County,1946,0.0,11,2021,0,0.0,2010,16,CLOSED to traffic,43.30902222222222,-95.34856666666666
1125,148720.0,473RD AVE,JACK CREEK,Emmet,County,County,1906,1973.0,11,2022,0,0.0,2010,16,CLOSED to traffic,43.368544444444446,-94.65195277777778
1126,316491.0,LOCAL,SALT CREEK,Tama,County,County,1982,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.945991666666664,-92.30596666666666
1127,312980.0,LOCAL,SMALL,Sioux,County,County,1965,0.0,11,2022,0,4.0,2010,16,Posted (load limit),43.21483055555556,-96.2727
1128,314920.0,LOCAL-DEAD END,SKUNK RIVER,Story,County,County,1876,1974.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.98659444444444,-93.5876111111111
1129,356850.0,LOCAL,WHITE FOX CREEK,Wright,County,County,1941,,11,2022,0,0.0,2010,16,CLOSED to traffic,42.61550555555556,-93.75246944444444
1130,327580.0,LOCAL,CREEK,Van Buren,County,County,1959,0.0,11,2022,0,3.0,2010,16,Posted (load limit),40.66067777777778,-91.82555555555555
1131,119140.0,A AVE,STREAM,Clayton,County,County,1900,0.0,11,2022,0,4.0,2010,16,Posted (load limit),42.81659722222222,-91.60716666666666
1132,324891.0,LOCAL,BRANCH EAST PLATTE,Union,County,County,1978,0.0,11,2022,0,3.0,2010,16,Posted (load limit),40.94222222222222,-94.33799166666667
1133,326220.0,LOCAL,SMALL STREAM,Union,County,County,1964,2018.0,11,2022,0,3.0,2010,16,Posted (load limit),40.99961388888889,-94.39498888888889
1134,227310.0,LOCAL,ENGLISH CREEK,Lucas,County,County,1954,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.11728333333333,-93.22674166666667
1135,227510.0,LOCAL,LITTLE WHITEBREAST CREEK,Lucas,County,County,1936,1970.0,11,2022,0,0.0,2010,16,Open (temporary),41.124427777777775,-93.33258888888888
1136,227901.0,100TH AVE,MOUSE CREEK,Lucas,County,County,1975,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.093694444444445,-93.55704444444444
1137,354900.0,LOCAL,STREAM,Woodbury,County,County,1955,0.0,11,2022,0,3.0,2010,16,Posted (load limit),42.489583333333336,-95.9698
1138,179460.0,155TH ST,WILLOW RIVER,Harrison,County,County,1930,0.0,11,2022,0,0.0,2010,16,CLOSED to traffic,41.78203611111111,-95.768875
1139,180791.0,LOCAL ROAD,BRANCH BIG CREEK,Henry,County,County,1977,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.03124722222222,-91.4494138888889
1140,251800.0,LOCAL,DRAINAGE DITCH,Monroe,County,County,1974,0.0,11,2022,0,3.0,2010,16,Posted (load limit),40.94865833333333,-92.66070277777779
1141,177080.0,325TH ST,KEG CREEK,Harrison,County,County,1900,1997.0,11,2022,0,2.0,2010,16,Posted (load limit),41.53517222222222,-95.53016666666666
1142,177420.0,325TH ST,PIGEON CREEK,Harrison,County,County,1960,0.0,11,2022,0,4.0,2010,16,Posted (load limit),41.535263888888885,-95.66122222222222
1143,178040.0,RENO AVE,SIX MILE CREEK,Harrison,County,County,1930,0.0,11,2022,0,3.0,2010,16,Posted (load limit),41.663624999999996,-95.69352777777779
1144,178550.0,LOC 210TH ST,LITTLE PIGEON,Harrison,County,County,1930,1961.0,11,2022,0,4.0,2010,16,Open,41.703611111111115,-95.59286666666667
